Day,Pair,Flower,Treatment,File Name,Block,scale bar (pixel),scale bar (mm),flower width (mm),Flower width (pixels),Genus,sex,length(pixels),length(mm),land,start,stop,duration(s),nectar,pollen,attack,Notes,File Location
3,10,16,control,MVI_6815,b,,12.7,27.18,156,Apis,female,84,14.64,no,1827163,1827184,0.7,no,no,no,,
2,1,6,control,MVI_4673,a,,12.7,28.52,185,Melissodes,female,75,11.56,yes,14287,14719,14.4,yes,yes,no,,
2,1,6,control,MVI_4673,a,,12.7,28.52,185,Melissodes,female,77,11.87,yes,16589,16616,0.9,yes,no,no,,
2,1,10,treated,MVI_6015,a,,12.7,19.4,193,fly,fly,81,,fly,675842,675863,0.7,no,no,no,file://localhost/Users/featherlite569/Desktop/Screen Shot 2014-10-21 at 10.03.17 AM.png,
2,1,2,treated,MVI_4674,b,,12.7,32.47,200,Melissodes,female,71,11.53,yes,12478,12497,0.63,yes,no,no,,
2,1,2,treated,MVI_4674,b,,12.7,32.47,200,Melissodes,female,71,11.53,yes,16628,18015,46.23,yes,yes,no,,
2,1,3,control,MVI_6016,b,,12.7,24.08,193,Melissodes,male,90,11.23,yes,702763,702765,0.07,no,no,no,,
2,1,3,control,MVI_6016,b,,12.7,24.08,193,fly,fly,83,,fly,708096,708103,0.23,no,no,no, ,
2,2,9,control,MVI_4675,a,,12.7,22.24,195,fly,fly,94,,fly,2856,2869,0.43,no,no,no,file://localhost/Users/featherlite569/Desktop/Screen Shot 2014-10-22 at 12.51.42 PM.png,
2,2,9,control,MVI_4675,a,,12.7,22.24,195,Melissodes,female,97,11.06,yes,5459,5498,1.3,no,yes,no,file://localhost/Users/featherlite569/Desktop/Screen Shot 2014-10-22 at 12.59.11 PM.png,
2,2,9,control,MVI_4675,a,,12.7,22.24,195,fly,fly,73,,fly,5805,5817,0.4,no,no, no,file://localhost/Users/featherlite569/Desktop/Screen Shot 2014-10-22 at 1.09.59 PM.png,
2,2,9,control,MVI_4675,a,,12.7,22.24,195,fly,fly,70,,fly,9380,9385,0.17,no,no,no,file://localhost/Users/featherlite569/Desktop/Screen Shot 2014-10-22 at 1.10.55 PM.png,
2,2,9,control,MVI_4675,a,,12.7,22.24,195,Lithurgus,female,121,13.8,yes,10121,10327,6.87,no,yes,no,file://localhost/Users/featherlite569/Desktop/Screen Shot 2014-10-22 at 1.13.14 PM.png,
2,2,9,control,MVI_4675,a,,12.7,22.24,195,fly,fly,80,,fly,11181,11189,0.27,no,no,no,file://localhost/Users/featherlite569/Desktop/Screen Shot 2014-10-22 at 1.15.57 PM.png,
2,2,9,control,MVI_4675,a,,12.7,22.24,195,Lithurgus,female,119,13.57,yes,12237,12397,5.33,no,yes,no,file://localhost/Users/featherlite569/Desktop/Screen Shot 2014-10-22 at 1.18.50 PM.png,
2,2,9,control,MVI_4675,a,,12.7,22.24,195,Melissodes,female,96,10.95,yes,12620,12625,0.17,no,no,no,,
2,2,9,control,MVI_4675,a,,12.7,22.24,195,Melissodes,female,101,11.52,yes,12855,12991,4.53,yes,no,no,,
2,2,9,control,MVI_4675,a,,12.7,22.24,195,fly,fly,99,,fly,13692,13706,0.47,no,no,no,file://localhost/Users/featherlite569/Desktop/Screen Shot 2014-10-22 at 1.25.44 PM.png,
2,2,9,control,MVI_4675,a,,12.7,22.24,195,Melissodes,female,95,10.83,yes,16268,16817,18.3,yes,yes,no,,
2,2,1,treated,MVI_6017,a,,12.7,28.17,234,Melissodes,female,101,12.16,yes,713156,713161,0.17,no,no,no,,
2,2,1,treated,MVI_6017,a,,12.7,28.17,234,Halictus,male,49,5.9,no,713224,713240,0.53,no,no,no,file://localhost/Users/featherlite569/Desktop/Screen Shot 2014-10-22 at 1.40.52 PM.png,
2,2,1,treated,MVI_6017,a,,12.7,28.17,234,Melissodes,female,100,12.04,yes,714226,714233,0.23,no,no,no,,
2,2,1,treated,MVI_6017,a,,12.7,28.17,234,Melissodes,female,105,12.64,yes,719895,719901,0.2,no,no,no,,
2,2,1,treated,MVI_6017,a,,12.7,28.17,234,Melissodes,female,107,12.88,yes,722685,722688,0.1,no,no,no,,
2,2,1,treated,MVI_6017,a,,12.7,28.17,234,Melissodes,male,93,11.2,no,725170,725174,0.13,no,no,no,,
2,2,12,treated,MVI_4676,b,,12.7,29.32,305,Melissodes,male,121,11.63,no,442,451,0.3,no,no,no,Pixels from larger monitor,
